CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2019.0,2019.0,5.0,2023.0,8.0,2026.0,54.0,50.0,0.0,4.0,0.0,92.59259259,0.0,7.407407407,0.0,7.407407407
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2019.0,2020.0,5.0,2023.0,8.0,2026.0,54.0,48.0,0.0,2.0,0.0,88.88888889,0.0,11.11111111,0.0,3.703703704
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2019.0,2021.0,5.0,2023.0,8.0,2026.0,54.0,44.0,2.0,2.0,0.0,81.48148148,3.703703704,14.81481481,3.703703704,3.703703704
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2019.0,2022.0,5.0,2023.0,8.0,2026.0,54.0,32.0,1.0,11.0,0.0,59.25925926,5.555555556,35.18518519,1.851851852,20.37037037
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2019.0,2023.0,5.0,2023.0,8.0,2026.0,54.0,25.0,2.0,5.0,0.0,46.2962963,9.259259259,44.44444444,3.703703704,9.259259259
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2019.0,2024.0,5.0,2023.0,8.0,2026.0,54.0,11.0,11.0,3.0,0.0,20.37037037,29.62962963,50.0,20.37037037,5.555555556
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2019.0,2019.0,5.0,2023.0,8.0,2026.0,27.0,25.0,0.0,2.0,0.0,92.59259259,0.0,7.407407407,0.0,7.407407407
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2019.0,2020.0,5.0,2023.0,8.0,2026.0,27.0,23.0,0.0,2.0,0.0,85.18518519,0.0,14.81481481,0.0,7.407407407
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2019.0,2021.0,5.0,2023.0,8.0,2026.0,27.0,23.0,0.0,0.0,0.0,85.18518519,0.0,14.81481481,0.0,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2019.0,2022.0,5.0,2023.0,8.0,2026.0,27.0,22.0,0.0,1.0,0.0,81.48148148,0.0,18.51851852,0.0,3.703703704
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2019.0,2023.0,5.0,2023.0,8.0,2026.0,27.0,20.0,0.0,2.0,0.0,74.07407407,0.0,25.92592593,0.0,7.407407407
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14324.0,ASTRONOMIA,3.0,33.0,3304557.0,1.0,1.0,0533A01,Astronomia,5.0,"Ciências naturais, matemática e estatística",2019.0,2024.0,5.0,2023.0,8.0,2026.0,27.0,12.0,7.0,1.0,0.0,44.44444444,25.92592593,29.62962963,25.92592593,3.703703704
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14325.0,METEOROLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532M01,Meteorologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2019.0,5.0,2023.0,8.0,2026.0,42.0,36.0,0.0,6.0,0.0,85.71428571,0.0,14.28571429,0.0,14.28571429
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14325.0,METEOROLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532M01,Meteorologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2020.0,5.0,2023.0,8.0,2026.0,42.0,36.0,0.0,0.0,0.0,85.71428571,0.0,14.28571429,0.0,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14325.0,METEOROLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532M01,Meteorologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2021.0,5.0,2023.0,8.0,2026.0,42.0,33.0,0.0,3.0,0.0,78.57142857,0.0,21.42857143,0.0,7.142857143
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14325.0,METEOROLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532M01,Meteorologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2022.0,5.0,2023.0,8.0,2026.0,42.0,24.0,0.0,9.0,0.0,57.14285714,0.0,42.85714286,0.0,21.42857143
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14325.0,METEOROLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532M01,Meteorologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2023.0,5.0,2023.0,8.0,2026.0,42.0,20.0,0.0,4.0,0.0,47.61904762,0.0,52.38095238,0.0,9.523809524
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14325.0,METEOROLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532M01,Meteorologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2024.0,5.0,2023.0,8.0,2026.0,42.0,17.0,0.0,3.0,0.0,40.47619048,0.0,59.52380952,0.0,7.142857143
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14326.0,GEOGRAFIA,3.0,33.0,3304557.0,2.0,1.0,0114G01,Geografia formação de professor,1.0,Educação,2019.0,2019.0,5.0,2023.0,8.0,2026.0,59.0,57.0,0.0,2.0,0.0,96.61016949,0.0,3.389830508,0.0,3.389830508
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14326.0,GEOGRAFIA,3.0,33.0,3304557.0,2.0,1.0,0114G01,Geografia formação de professor,1.0,Educação,2019.0,2020.0,5.0,2023.0,8.0,2026.0,59.0,51.0,6.0,0.0,0.0,86.44067797,10.16949153,3.389830508,10.16949153,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14326.0,GEOGRAFIA,3.0,33.0,3304557.0,2.0,1.0,0114G01,Geografia formação de professor,1.0,Educação,2019.0,2021.0,5.0,2023.0,8.0,2026.0,59.0,49.0,1.0,1.0,0.0,83.05084746,11.86440678,5.084745763,1.694915254,1.694915254
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14326.0,GEOGRAFIA,3.0,33.0,3304557.0,2.0,1.0,0114G01,Geografia formação de professor,1.0,Educação,2019.0,2022.0,5.0,2023.0,8.0,2026.0,59.0,44.0,1.0,4.0,0.0,74.57627119,13.55932203,11.86440678,1.694915254,6.779661017
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14326.0,GEOGRAFIA,3.0,33.0,3304557.0,2.0,1.0,0114G01,Geografia formação de professor,1.0,Educação,2019.0,2023.0,5.0,2023.0,8.0,2026.0,59.0,31.0,3.0,10.0,0.0,52.54237288,18.6440678,28.81355932,5.084745763,16.94915254
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14326.0,GEOGRAFIA,3.0,33.0,3304557.0,2.0,1.0,0114G01,Geografia formação de professor,1.0,Educação,2019.0,2024.0,5.0,2023.0,8.0,2026.0,59.0,17.0,8.0,6.0,0.0,28.81355932,32.20338983,38.98305085,13.55932203,10.16949153
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14327.0,GEOLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532G02,Geologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2019.0,6.0,2024.0,10.0,2028.0,40.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14327.0,GEOLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532G02,Geologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2020.0,6.0,2024.0,10.0,2028.0,40.0,39.0,0.0,1.0,0.0,97.5,0.0,2.5,0.0,2.5
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14327.0,GEOLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532G02,Geologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2021.0,6.0,2024.0,10.0,2028.0,40.0,38.0,0.0,1.0,0.0,95.0,0.0,5.0,0.0,2.5
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14327.0,GEOLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532G02,Geologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2022.0,6.0,2024.0,10.0,2028.0,40.0,30.0,0.0,8.0,0.0,75.0,0.0,25.0,0.0,20.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14327.0,GEOLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532G02,Geologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2023.0,6.0,2024.0,10.0,2028.0,40.0,27.0,1.0,2.0,0.0,67.5,2.5,30.0,2.5,5.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14327.0,GEOLOGIA,3.0,33.0,3304557.0,1.0,1.0,0532G02,Geologia,5.0,"Ciências naturais, matemática e estatística",2019.0,2024.0,6.0,2024.0,10.0,2028.0,40.0,19.0,7.0,1.0,0.0,47.5,20.0,32.5,17.5,2.5
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14328.0,MATEMÁTICA,3.0,33.0,3304557.0,2.0,1.0,0114M01,Matemática formação de professor,1.0,Educação,2019.0,2019.0,5.0,2023.0,9.0,2027.0,114.0,98.0,0.0,16.0,0.0,85.96491228,0.0,14.03508772,0.0,14.03508772
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14328.0,MATEMÁTICA,3.0,33.0,3304557.0,2.0,1.0,0114M01,Matemática formação de professor,1.0,Educação,2019.0,2020.0,5.0,2023.0,9.0,2027.0,114.0,94.0,0.0,4.0,0.0,82.45614035,0.0,17.54385965,0.0,3.50877193
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14328.0,MATEMÁTICA,3.0,33.0,3304557.0,2.0,1.0,0114M01,Matemática formação de professor,1.0,Educação,2019.0,2021.0,5.0,2023.0,9.0,2027.0,114.0,89.0,1.0,4.0,0.0,78.07017544,0.877192982,21.05263158,0.877192982,3.50877193
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14328.0,MATEMÁTICA,3.0,33.0,3304557.0,2.0,1.0,0114M01,Matemática formação de professor,1.0,Educação,2019.0,2022.0,5.0,2023.0,9.0,2027.0,114.0,57.0,0.0,32.0,0.0,50.0,0.877192982,49.12280702,0.0,28.07017544
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14328.0,MATEMÁTICA,3.0,33.0,3304557.0,2.0,1.0,0114M01,Matemática formação de professor,1.0,Educação,2019.0,2023.0,5.0,2023.0,9.0,2027.0,114.0,41.0,4.0,12.0,0.0,35.96491228,4.385964912,59.64912281,3.50877193,10.52631579
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14328.0,MATEMÁTICA,3.0,33.0,3304557.0,2.0,1.0,0114M01,Matemática formação de professor,1.0,Educação,2019.0,2024.0,5.0,2023.0,9.0,2027.0,114.0,25.0,7.0,9.0,0.0,21.92982456,10.52631579,67.54385965,6.140350877,7.894736842
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14330.0,ESTATÍSTICA,3.0,33.0,3304557.0,1.0,1.0,0542E01,Estatística,5.0,"Ciências naturais, matemática e estatística",2019.0,2019.0,5.0,2023.0,8.0,2026.0,18.0,15.0,0.0,3.0,0.0,83.33333333,0.0,16.66666667,0.0,16.66666667
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14330.0,ESTATÍSTICA,3.0,33.0,3304557.0,1.0,1.0,0542E01,Estatística,5.0,"Ciências naturais, matemática e estatística",2019.0,2020.0,5.0,2023.0,8.0,2026.0,18.0,15.0,0.0,0.0,0.0,83.33333333,0.0,16.66666667,0.0,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14330.0,ESTATÍSTICA,3.0,33.0,3304557.0,1.0,1.0,0542E01,Estatística,5.0,"Ciências naturais, matemática e estatística",2019.0,2021.0,5.0,2023.0,8.0,2026.0,18.0,15.0,0.0,0.0,0.0,83.33333333,0.0,16.66666667,0.0,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14330.0,ESTATÍSTICA,3.0,33.0,3304557.0,1.0,1.0,0542E01,Estatística,5.0,"Ciências naturais, matemática e estatística",2019.0,2022.0,5.0,2023.0,8.0,2026.0,18.0,13.0,0.0,2.0,0.0,72.22222222,0.0,27.77777778,0.0,11.11111111
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14330.0,ESTATÍSTICA,3.0,33.0,3304557.0,1.0,1.0,0542E01,Estatística,5.0,"Ciências naturais, matemática e estatística",2019.0,2023.0,5.0,2023.0,8.0,2026.0,18.0,12.0,0.0,1.0,0.0,66.66666667,0.0,33.33333333,0.0,5.555555556
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14330.0,ESTATÍSTICA,3.0,33.0,3304557.0,1.0,1.0,0542E01,Estatística,5.0,"Ciências naturais, matemática e estatística",2019.0,2024.0,5.0,2023.0,8.0,2026.0,18.0,11.0,0.0,1.0,0.0,61.11111111,0.0,38.88888889,0.0,5.555555556
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14331.0,CIÊNCIAS ATUARIAIS,3.0,33.0,3304557.0,1.0,1.0,0542C01,Ciências atuariais,5.0,"Ciências naturais, matemática e estatística",2019.0,2019.0,5.0,2023.0,8.0,2026.0,29.0,26.0,0.0,3.0,0.0,89.65517241,0.0,10.34482759,0.0,10.34482759
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14331.0,CIÊNCIAS ATUARIAIS,3.0,33.0,3304557.0,1.0,1.0,0542C01,Ciências atuariais,5.0,"Ciências naturais, matemática e estatística",2019.0,2020.0,5.0,2023.0,8.0,2026.0,29.0,26.0,0.0,0.0,0.0,89.65517241,0.0,10.34482759,0.0,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14331.0,CIÊNCIAS ATUARIAIS,3.0,33.0,3304557.0,1.0,1.0,0542C01,Ciências atuariais,5.0,"Ciências naturais, matemática e estatística",2019.0,2021.0,5.0,2023.0,8.0,2026.0,29.0,26.0,0.0,0.0,0.0,89.65517241,0.0,10.34482759,0.0,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14331.0,CIÊNCIAS ATUARIAIS,3.0,33.0,3304557.0,1.0,1.0,0542C01,Ciências atuariais,5.0,"Ciências naturais, matemática e estatística",2019.0,2022.0,5.0,2023.0,8.0,2026.0,29.0,19.0,1.0,6.0,0.0,65.51724138,3.448275862,31.03448276,3.448275862,20.68965517
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14331.0,CIÊNCIAS ATUARIAIS,3.0,33.0,3304557.0,1.0,1.0,0542C01,Ciências atuariais,5.0,"Ciências naturais, matemática e estatística",2019.0,2023.0,5.0,2023.0,8.0,2026.0,29.0,15.0,0.0,4.0,0.0,51.72413793,3.448275862,44.82758621,0.0,13.79310345
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14331.0,CIÊNCIAS ATUARIAIS,3.0,33.0,3304557.0,1.0,1.0,0542C01,Ciências atuariais,5.0,"Ciências naturais, matemática e estatística",2019.0,2024.0,5.0,2023.0,8.0,2026.0,29.0,9.0,4.0,2.0,0.0,31.03448276,17.24137931,51.72413793,13.79310345,6.896551724
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14332.0,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,3.0,33.0,3304557.0,1.0,1.0,0531Q01,Química,5.0,"Ciências naturais, matemática e estatística",2019.0,2019.0,6.0,2024.0,10.0,2028.0,54.0,48.0,0.0,6.0,0.0,88.88888889,0.0,11.11111111,0.0,11.11111111
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14332.0,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,3.0,33.0,3304557.0,1.0,1.0,0531Q01,Química,5.0,"Ciências naturais, matemática e estatística",2019.0,2020.0,6.0,2024.0,10.0,2028.0,54.0,46.0,0.0,2.0,0.0,85.18518519,0.0,14.81481481,0.0,3.703703704
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14332.0,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,3.0,33.0,3304557.0,1.0,1.0,0531Q01,Química,5.0,"Ciências naturais, matemática e estatística",2019.0,2021.0,6.0,2024.0,10.0,2028.0,54.0,45.0,0.0,1.0,0.0,83.33333333,0.0,16.66666667,0.0,1.851851852
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14332.0,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,3.0,33.0,3304557.0,1.0,1.0,0531Q01,Química,5.0,"Ciências naturais, matemática e estatística",2019.0,2022.0,6.0,2024.0,10.0,2028.0,54.0,37.0,0.0,8.0,0.0,68.51851852,0.0,31.48148148,0.0,14.81481481
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14332.0,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,3.0,33.0,3304557.0,1.0,1.0,0531Q01,Química,5.0,"Ciências naturais, matemática e estatística",2019.0,2023.0,6.0,2024.0,10.0,2028.0,54.0,35.0,0.0,2.0,0.0,64.81481481,0.0,35.18518519,0.0,3.703703704
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14332.0,QUÍMICA - ATRIBUIÇÔES TECNOLÓGICAS,3.0,33.0,3304557.0,1.0,1.0,0531Q01,Química,5.0,"Ciências naturais, matemática e estatística",2019.0,2024.0,6.0,2024.0,10.0,2028.0,54.0,30.0,1.0,4.0,0.0,55.55555556,1.851851852,42.59259259,1.851851852,7.407407407
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14333.0,ARQUITETURA E URBANISMO,3.0,33.0,3304557.0,1.0,1.0,0731A02,Arquitetura e urbanismo,7.0,"Engenharia, produção e construção",2019.0,2019.0,5.0,2023.0,8.0,2026.0,250.0,241.0,0.0,9.0,0.0,96.4,0.0,3.6,0.0,3.6
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14333.0,ARQUITETURA E URBANISMO,3.0,33.0,3304557.0,1.0,1.0,0731A02,Arquitetura e urbanismo,7.0,"Engenharia, produção e construção",2019.0,2020.0,5.0,2023.0,8.0,2026.0,250.0,237.0,0.0,4.0,0.0,94.8,0.0,5.2,0.0,1.6
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14333.0,ARQUITETURA E URBANISMO,3.0,33.0,3304557.0,1.0,1.0,0731A02,Arquitetura e urbanismo,7.0,"Engenharia, produção e construção",2019.0,2021.0,5.0,2023.0,8.0,2026.0,250.0,234.0,0.0,3.0,0.0,93.6,0.0,6.4,0.0,1.2
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14333.0,ARQUITETURA E URBANISMO,3.0,33.0,3304557.0,1.0,1.0,0731A02,Arquitetura e urbanismo,7.0,"Engenharia, produção e construção",2019.0,2022.0,5.0,2023.0,8.0,2026.0,250.0,215.0,0.0,19.0,0.0,86.0,0.0,14.0,0.0,7.6
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14333.0,ARQUITETURA E URBANISMO,3.0,33.0,3304557.0,1.0,1.0,0731A02,Arquitetura e urbanismo,7.0,"Engenharia, produção e construção",2019.0,2023.0,5.0,2023.0,8.0,2026.0,250.0,207.0,0.0,8.0,0.0,82.8,0.0,17.2,0.0,3.2
