CO_IES,NO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_CURSO,NO_CURSO,CO_REGIAO,CO_UF,CO_MUNICIPIO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,CO_CINE_ROTULO,NO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,NU_ANO_INGRESSO,NU_ANO_REFERENCIA,NU_PRAZO_INTEGRALIZACAO,NU_ANO_INTEGRALIZACAO,NU_PRAZO_ACOMPANHAMENTO,NU_ANO_MAXIMO_ACOMPANHAMENTO,QT_INGRESSANTE,QT_PERMANENCIA,QT_CONCLUINTE,QT_DESISTENCIA,QT_FALECIDO,TAP,TCA,TDA,TCAN,TADA
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2014.0,5.0,2018.0,8.0,2021.0,51.0,41.0,0.0,10.0,0.0,80.39215686,0.0,19.60784314,0.0,19.60784314
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2015.0,5.0,2018.0,8.0,2021.0,51.0,34.0,1.0,6.0,0.0,66.66666667,1.960784314,31.37254902,1.960784314,11.76470588
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2016.0,5.0,2018.0,8.0,2021.0,51.0,24.0,0.0,10.0,0.0,47.05882353,1.960784314,50.98039216,0.0,19.60784314
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2017.0,5.0,2018.0,8.0,2021.0,51.0,18.0,3.0,3.0,0.0,35.29411765,7.843137255,56.8627451,5.882352941,5.882352941
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2018.0,5.0,2018.0,8.0,2021.0,51.0,10.0,4.0,4.0,0.0,19.60784314,15.68627451,64.70588235,7.843137255,7.843137255
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2019.0,5.0,2018.0,8.0,2021.0,51.0,6.0,1.0,3.0,0.0,11.76470588,17.64705882,70.58823529,1.960784314,5.882352941
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2020.0,5.0,2018.0,8.0,2021.0,51.0,4.0,2.0,0.0,0.0,7.843137255,21.56862745,70.58823529,3.921568627,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2021.0,5.0,2018.0,8.0,2021.0,51.0,2.0,0.0,2.0,0.0,3.921568627,21.56862745,74.50980392,0.0,3.921568627
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2022.0,5.0,2018.0,8.0,2021.0,51.0,1.0,1.0,0.0,0.0,1.960784314,23.52941176,74.50980392,1.960784314,0.0
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1.0,1.0,14323.0,FÍSICA,3.0,33.0,3304557.0,1.0,1.0,0533F01,Física,5.0,"Ciências naturais, matemática e estatística",2014.0,2023.0,5.0,2018.0,8.0,2021.0,51.0,0.0,1.0,0.0,0.0,0.0,25.49019608,74.50980392,1.960784314,0.0
